"Agency","Subagency","accountID","Title","Obligation"
"US Agencies - Non-CFO Act","Government Accountability Office",113,"Salaries and Expenses",275517889.22
"US Agencies - Non-CFO Act","Legislative Branch Boards and Commissions",119,"Salaries and Expenses",1117123.62
"US Agencies - Non-CFO Act","Legislative Branch Boards and Commissions",122,"International Conferences and Contingencies",50000
"US Agencies - Non-CFO Act","Courts of Appeals, District Courts, and Other Judicial Services",150,"Court Security",249131577.07
"Department of Agriculture","Office of the Secretary",285,"Office of the Under Secretary for Marketing and Regulatory Programs, Cooperative State Research, Education, and Extension Service",546900
"Department of Agriculture","Office of the Secretary",278,"Production, Processing and Marketing",0
"Department of Agriculture","Office of the Secretary",278,"Production, Processing, and Marketing",920983.59
"Department of Agriculture","Office of the Secretary",281,"Office of the Assistant Secretary for Administration",0
"Department of Agriculture","Office of the Secretary",282,"Office of the Assistant Secretary for Governmental and Public Affairs",0
"Department of Agriculture","Office of the Secretary",284,"Office of the Under Secretary for Research, Education and Economics",1857827.41
"Department of Agriculture","Office of the Secretary",286,"Office of the Under Secretary for Farm and Foreign Agricultural Services",497452.29
"Department of Agriculture","Office of the Secretary",287,"Office of the Under Secretary for Rural Development",1107094.64
"Department of Agriculture","Office of the Secretary",288,"Office of the Assistant Secretary for Natural Resources and Environment",728208.78
"Department of Agriculture","Office of the Secretary",289,"Office of the Under Secretary for Food",491197.29
"Department of Agriculture","Office of the Secretary",280,"Departmental Administration",4125.77
"Department of Agriculture","Office of the Secretary",309,"Outreach for Socially Disadvantaged Farmers, Cooperative State Research, Education, and Extension Service",0
"Department of Agriculture","Office of the Secretary",290,"Office of the Assistant Secretary for Civil Rights",448419.83
"Department of Agriculture","Office of the Secretary",296,"Office of Communications",0
"Department of Agriculture","Office of the Secretary",275,"Homeland Security Staff",16354.65
"Department of Agriculture","Office of the Secretary",291,"Office of Tribal Relations",0
"Department of Agriculture","Office of the Secretary",292,"Office of Advocacy and Outreach",0
"Department of Agriculture","Executive Operations",283,"Office of the Chief Economist",5303465.61
"Department of Agriculture","Executive Operations",310,"National Appeals Division",6001072.86
"Department of Agriculture","Executive Operations",306,"Office of Budget and Program Analysis",4336076.76
"Department of Agriculture","Executive Operations",277,"Expenses",0
"Department of Agriculture","Office of Chief Information Officer",273,"Expenses",18461475.83
"Department of Agriculture","Office of Chief Financial Officer",274,"Expenses",2907378.38
"Department of Agriculture","Office of Inspector General",312,"Office of the Inspector General",46517863.9
"Department of Agriculture","Office of Inspector General",311,"Office of Inspector General - Recovery Act",0
"Department of Agriculture","Office of the General Counsel",294,"Office of Ethics",1652602.8
"Department of Agriculture","Economic Research Service",353,"Economic Research Service",37742155.87
"Department of Agriculture","National Agricultural Statistics Service",354,"National Agricultural Statistics Service",24597301.52
"Department of Agriculture","Agricultural Research Service",342,"Salaries and Expenses",23923293.66
"Department of Agriculture","Agricultural Research Service",343,"Buildings and Facilities",2357289.29
"Department of Agriculture","National Institute of Food and Agriculture",350,"Integrated Activities, Cooperative State Research, Education, and Extension Service",18846105
"Department of Agriculture","National Institute of Food and Agriculture",315,"Biomass Research and Development",3816.88
"Department of Agriculture","National Institute of Food and Agriculture",348,"Research and Education Activities, Cooperative State Research, Education, and Extension Service",193185545.42
"Department of Agriculture","National Institute of Food and Agriculture",349,"Buildings and Facilities, Cooperative State Research, Education, and Extension Service",1207258.04
"Department of Agriculture","National Institute of Food and Agriculture",305,"Extension Activities, Cooperative State Research, Education, and Extension Service",23820894.88
"Department of Agriculture","Animal and Plant Health Inspection Service",351,"Salaries and Expenses",523483228.11
