"Agency","Subagency","Title","accountID","Obligation"
"US Agencies - Non-CFO Act","Legislative Branch, Government Accountability Office","Salaries and Expenses",113,275517889.23
"US Agencies - Non-CFO Act","Legislative Branch, Legislative Branch Boards and Commissions","Commission on Security and Cooperation in Europe: Salaries and Expenses",119,1117123.62
"US Agencies - Non-CFO Act","Legislative Branch, Legislative Branch Boards and Commissions","International Conferences and Contingencies: House and Senate Expenses",122,50000
"US Agencies - Non-CFO Act","Judicial Branch, Courts of Appeals, District Courts, and Other Judicial Services","Court Security",150,249131577.06
"Department of Agriculture","Office of the Secretary","Office of the AssistantOffice of the Under Secretary for Marketing and Regulatory Programs",285,546900
"Department of Agriculture","Office of the Secretary","Office of the Secretary",278,920983.59
"Department of Agriculture","Office of the Secretary","Office of the Assistant Secretary for Administration",281,0
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Food Safety",417,334066.69
"Department of Agriculture","Office of the Secretary","Office of the Assistant Secretary for Congressional Relations",282,0
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Research, Education and Economics",284,1857827.41
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Farm and Foreign Agricultural Services",286,497452.29
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Rural Development",287,1107094.64
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Natural Resources and Environment",288,728208.78
"Department of Agriculture","Office of the Secretary","Office of the Under Secretary for Food, Nutrition and Consumer Services",289,491197.29
"Department of Agriculture","Office of the Secretary","Departmental Administration",280,4125.77
"Department of Agriculture","Office of the Secretary","Outreach for Socially Disadvantaged Farmers",309,0
"Department of Agriculture","Office of the Secretary","Office of the Assistant Secretary for Civil Rights",290,448419.83
"Department of Agriculture","Office of the Secretary","Office of Public Affairs",296,0
"Department of Agriculture","Office of the Secretary","Homeland Security Staff",275,16354.65
"Department of Agriculture","Office of the Secretary","The Office of Tribal Relations",291,0
"Department of Agriculture","Office of the Secretary","The Office of Advocacy and Outreach",292,0
"Department of Agriculture","Office of the Secretary","Gifts and Bequests",530,138481.38
"Department of Agriculture","Executive Operations","Office of the Chief Economist",283,5303465.61
"Department of Agriculture","Executive Operations","National Appeals Division",310,6001072.86
"Department of Agriculture","Executive Operations","Office of Budget and Program Analysis",306,4336076.76
"Department of Agriculture","Executive Operations","Common Computing Environment",277,0
"Department of Agriculture","Office of Chief Information Officer","Office of the Chief Information Officer",273,18461475.83
"Department of Agriculture","Office of Chief Financial Officer","Office of the Chief Financial Officer",274,2907378.38
"Department of Agriculture","Office of Civil Rights","Office of Civil Rights",418,15124321.85
"Department of Agriculture","Office of Inspector General","Office of Inspector General",312,46517863.9
"Department of Agriculture","Office of Inspector General","Inspector General, Assets Forfeiture, Department of the Treasury",496,374820.61
"Department of Agriculture","Office of Inspector General","Inspector General, Assets Forfeiture, Department of Justice",495,907977.02
"Department of Agriculture","Office of Inspector General","Office of the Inspector General, Recovery Act",311,0
"Department of Agriculture","Office of the General Counsel","Office of the General Counsel",381,22525841.09
"Department of Agriculture","Office of the General Counsel","Office of Ethics",294,1652602.8
"Department of Agriculture","Economic Research Service","Economic Research Service",353,37742155.87
"Department of Agriculture","National Agricultural Statistics Service","National Agricultural Statistics Service",354,24597301.52
"Department of Agriculture","National Agricultural Statistics Service","Miscellaneous Contributed Funds",533,0
"Department of Agriculture","Agricultural Research Service","Salaries and Expenses",342,23923293.66
"Department of Agriculture","Agricultural Research Service","Concessions, Fees, and Voluntary Services",488,11927.22
"Department of Agriculture","Agricultural Research Service","Buildings and Facilities",343,2357289.29
"Department of Agriculture","Agricultural Research Service","Miscellaneous Contributed Funds",532,9649851.95
"Department of Agriculture","National Institute of Food and Agriculture","Integrated Research, Education, and Extension Competitive Grants Program",350,18846105
"Department of Agriculture","National Institute of Food and Agriculture","Biomass Research and Development",315,3816.88
"Department of Agriculture","National Institute of Food and Agriculture","Research and Education Activities",348,193185545.45
"Department of Agriculture","National Institute of Food and Agriculture","Buildings and Facilities",349,1207258.04
"Department of Agriculture","National Institute of Food and Agriculture","Extension Activities",305,23820894.88
"Department of Agriculture","Animal and Plant Health Inspection Service","Salaries and Expenses",351,523483228.13
"Department of Agriculture","Animal and Plant Health Inspection Service","Salaries and Expenses",467,100363791.67
"Department of Agriculture","Animal and Plant Health Inspection Service","Buildings and Facilities",352,150941.93
"Department of Agriculture","Animal and Plant Health Inspection Service","Miscellaneous Contributed Funds",534,3613808.31
"Department of Agriculture","Animal and Plant Health Inspection Service","Foreign service national separation liability trust fund, APHIS",539,870206.84
"Department of Agriculture","Food Safety and Inspection Service","Salaries and Expenses",416,642094741.71
"Department of Agriculture","Food Safety and Inspection Service","Expenses and Refunds, Inspection and Grading of Farm Products",528,5756450.8
"Department of Agriculture","Grain Inspection, Packers and Stockyards Administration","Salaries and Expenses",382,20705075.17
"Department of Agriculture","Agricultural Marketing Service","Marketing Services",383,99440507.8
"Department of Agriculture","Agricultural Marketing Service","Payments to States and Possessions",384,3037583.04
"Department of Agriculture","Agricultural Marketing Service","Perishable Agricultural Commodities Act Fund",466,5032529.32
"Department of Agriculture","Agricultural Marketing Service","Funds for Strengthening Markets, Income, and Supply (section 32)",476,340864340.48
"Department of Agriculture","Agricultural Marketing Service","Miscellaneous Trust Funds",522,84226774.27
"Department of Agriculture","Agricultural Marketing Service","Payment to Expenses and Refunds, Inspection and Grading of Farm Products",299,2250000
"Department of Agriculture","Agricultural Marketing Service","Wool Research, Development, and Promotion Trust Fund",527,0
"Department of Agriculture","Risk Management Agency","Administrative and Operating Expenses",386,41096844.87
"Department of Agriculture","Risk Management Agency","Federal Crop Insurance Corporation Fund",422,5514974342.61
"Department of Agriculture","Farm Service Agency","Salaries and Expenses",308,733673370.83
"Department of Agriculture","Farm Service Agency","Discrimination Claims Settlement",336,0
"Department of Agriculture","Farm Service Agency","Grassroots Source Water Protection Program",395,1240516
"Department of Agriculture","Farm Service Agency","Commodity Credit Corporation Fund",457,0
"Department of Agriculture","Natural Resources Conservation Service","Conservation Operations",313,339542042.37
"Department of Agriculture","Natural Resources Conservation Service","Farm Security and Rural Investment Programs",316,1359269947.41
"Department of Agriculture","Natural Resources Conservation Service","Wildlife Habitat Incentives Program",404,0
"Department of Agriculture","Natural Resources Conservation Service","Watershed and Flood Prevention Operations",319,64587098.24
"Department of Agriculture","Natural Resources Conservation Service","Watershed Rehabilitation Program",314,2043221.9
"Department of Agriculture","Natural Resources Conservation Service","Resource Conservation and Development",317,0
"Department of Agriculture","Natural Resources Conservation Service","Wetlands Reserve Program",321,0
"Department of Agriculture","Natural Resources Conservation Service","Healthy Forests Reserve Program",322,0
"Department of Agriculture","Natural Resources Conservation Service","Water Bank Program",403,10132.15
"Department of Agriculture","Natural Resources Conservation Service","Damage Assessment and Restoration Revolving Fund",462,21.84
"Department of Agriculture","Natural Resources Conservation Service","Miscellaneous Contributed Funds",531,0
"Department of Agriculture","Rural Development","Salaries and Expenses",302,335756424.28
"Department of Agriculture","Foreign Agricultural Service","Salaries and Expenses",387,116779952.65
"Department of Agriculture","Foreign Agricultural Service","Scientific Activities Overseas (foreign Currency Program)",345,0
"Department of Agriculture","Foreign Agricultural Service","Miscellaneous Contributed Funds",536,0
"Department of Agriculture","Foreign Agricultural Service","McGovern-Dole International Food for Education and Child Nutrition Program",388,5235573.33
"Department of Agriculture","Foreign Agricultural Service","Food for Peace Title II Grants",379,252000740.79
"Department of Agriculture","Foreign Agricultural Service","Foreign Service National Separation Liability Trust Fund",538,15010669.55
"Department of Agriculture","Food and Nutrition Service","Nutrition Programs Administration",409,66030642.73
"Department of Agriculture","Food and Nutrition Service","Supplemental Nutrition Assistance Program",407,35613552268.19
"Department of Agriculture","Food and Nutrition Service","Food Stamp Program, Recovery Act",414,0
"Department of Agriculture","Food and Nutrition Service","Child Nutrition Programs",412,12051645628.76
"Department of Agriculture","Food and Nutrition Service","Special Supplemental Nutrition Program for Women, Infants, and Children (WIC)",411,3274142080.42
"Department of Agriculture","Food and Nutrition Service","Commodity Assistance Program",408,137764973.16
"Department of Agriculture","Forest Service","Capital Improvement and Maintenance",324,144787657.15
"Department of Agriculture","Forest Service","Forest and Rangeland Research",325,147357233.56
"Department of Agriculture","Forest Service","Gifts, Donations and Bequests for Forest and Range Land Research",524,0
"Department of Agriculture","Forest Service","National Forest System",327,774625630.47
"Department of Agriculture","Forest Service","State and Private Forestry",326,86159686.92
"Department of Agriculture","Forest Service","State, Private, and International Forestry (Land and Water Conservation Fund)",494,2012585.59
"Department of Agriculture","Forest Service","Management of National Forest Lands for Subsistence Uses",331,1244948.67
"Department of Agriculture","Forest Service","Wildland Fire Management",328,1133212983.37
"Department of Agriculture","Forest Service","Range Betterment Fund",474,246307.16
"Department of Agriculture","Forest Service","Stewardship Contracting Product Sales",499,1931098.02
